Internal App Key	de, (Deutsch)	en, (English)	fr, (Français)	nl, (Dutch)
helphelp2.accessLocation.title	Standort	Location	Site	Locatie
helphelp2.accessLocation.text	Sie müssen den Zugriff auf Ihren Standort erlauben, um diese App zu benutzen.	To use this App you need to grant access to your current location.		
helphelp2.accessLocation.action.settings	Einstellungen	Settings	Réglages	Instellingen
helphelp2.siteAnnotation.distance	Entfernung:	Distance:	Distance:	
helphelp2.siteAnnotation.distance.unit	km	km	km	km
helphelp2.siteDetail.map.helpersNeeded	Freiwillige Helfer gesucht!	Helpers wanted!		
helphelp2.siteDetail.map.contact	Kontakt:	Contact:	Contact:	
helphelp2.siteDetail.map.webAddress	Webseite:	Website:	Site Web:	
helphelp2.siteDetail.map.more	Weitere Angaben:	Additional information:	Détails:	
helphelp2.siteDetail.list.helpersNeeded	Freiwillige Helfer gesucht!	Helpers wanted!		
helphelp2.siteDetail.list.contact	Kontakt:	Contact:	Contact:	
helphelp2.siteDetail.list.webAddress	Webseite:	Website:	Site Web	
helphelp2.siteDetail.list.more	Weitere Angaben:	Additional information:	Détails	
helphelp2.general.impress	Impressum:	Impress:	Mentions Légales	
helphelp2.general.addSites	Um Adressen hinzuzufügen gehe zu:	To add addresses please visit:		
helphelp2.general.developer	iOS Version entwickelt von	iOS version developed by		
helphelp2.general.iconDesigner	Icons gestaltet von	Icons designed by		
helphelp2.general.from	von	from	de	
helphelp2.mainNavigation.map	Karte	Map	Carte	
helphelp2.mainNavigation.list	Liste	List	Liste	
helphelp2.mainNavigation.more	Mehr	More	Plus	Meer
InfoPlist.NSLocationWhenInUseUsageDescription	Helphelp² benötigt Ihren Standort um Sammelstellen in Ihrer Nähe anzeigen zu können.	Helphelp² needs your current location to display collection sites near you.	Helphelp² besoin de votre emplacement actuel pour afficher les sites de collecte près de chez vous.	Helphelp² moet toegang hebben tot uw locatie, om u inzamelplaatsen in de buurt te tonen.
